new_key,date,cruise_id,station,temp,sal,o2_ctd,nh4,no2,no3,no3_no2,po4,si,avg_chl_a,avg_phaeo
2015-04-15_WS15103_51,2015-04-15,WS15103,51,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_52,2015-04-15,WS15103,52,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_53,2015-04-15,WS15103,53,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_54,2015-04-15,WS15103,54,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_55,2015-04-15,WS15103,55,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_56,2015-04-15,WS15103,56,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_57,2015-04-15,WS15103,57,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_57.1,2015-04-15,WS15103,57.1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_57.2,2015-04-15,WS15103,57.2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_57.3,2015-04-15,WS15103,57.3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_58,2015-04-15,WS15103,58,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_59,2015-04-15,WS15103,59,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_60,2015-04-15,WS15103,60,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_61,2015-04-15,WS15103,61,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_62,2015-04-15,WS15103,62,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_63,2015-04-15,WS15103,63,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_64,2015-04-15,WS15103,64,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-15_WS15103_65,2015-04-15,WS15103,65,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-16_WS15103_54,2015-04-16,WS15103,54,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-16_WS15103_55,2015-04-16,WS15103,55,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-16_WS15103_56,2015-04-16,WS15103,56,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-16_WS15103_57,2015-04-16,WS15103,57,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-16_WS15103_57.1,2015-04-16,WS15103,57.1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-16_WS15103_57.2,2015-04-16,WS15103,57.2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2015-04-16_WS15103_57.3,2015-04-16,WS15103,57.3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
