cruise_id,station,latitude,longitude
WS23061,.049,25.5835,-81.2921666666667
WS22072,.051,25.4528333333333,-81.3086666666667
WS22141,.051,25.4546666666667,-81.3081666666667
WS23010,.051,25.4525,-81.3091666666667
WS23061,.051,25.4538333333333,-81.3083333333333
WS22072,.053,25.4531666666667,-81.2265
WS22141,.053,25.4531666666667,-81.2353333333333
WS23010,.053,25.4535,-81.2365
WS22072,.054,25.3403333333333,-81.157
WS22141,.054,25.3381666666667,-81.1585
WS22072,.055,25.3491666666667,-81.195
WS22141,.055,25.3498333333333,-81.1995
WS23010,.055,25.3498333333333,-81.194
WS23061,.055,25.3501666666667,-81.1976666666667
WS22072,.056,25.3491666666667,-81.2275
WS22141,.056,25.3505,-81.2281666666667
WS23061,.056,25.3495,-81.2273333333333
WS22072,.057,25.3498333333333,-81.2635
WS22141,.057,25.3531666666667,-81.2676666666667
WS23061,.057,25.3533333333333,-81.2616666666667
WS22141,.0571,25.3536666666667,-81.3393333333333
WS22141,.0572,25.3515,-81.489
WS22141,.0573,25.3521666666667,-81.6508333333333
WS22072,.057_1,25.3511666666667,-81.3351666666667
WS23010,.057_1,25.3535,-81.3371666666667
WS23061,.057_1,25.3501666666667,-81.3385
WS22072,.057_2,25.347,-81.4918333333333
WS23010,.057_2,25.3513333333333,-81.4898333333333
WS23061,.057_2,25.351,-81.4895
WS22072,.057_3,25.3493333333333,-81.653
WS23010,.057_3,25.351,-81.6481666666667
WS23061,.057_3,25.3505,-81.6528333333333
WS21093,.058,25.1675,-81.6515
WS22072,.058,25.166,-81.6555
WS22141,.058,25.1691666666667,-81.6556666666667
WS23010,.058,25.1663333333333,-81.6543333333333
WS23061,.058,25.1671666666667,-81.6536666666667
WS21093,.060,25.1656666666667,-81.3368333333333
WS22072,.060,25.1651666666667,-81.342
WS22141,.060,25.1663333333333,-81.3401666666667
WS23010,.060,25.1658333333333,-81.337
WS23061,.060,25.1685,-81.3358333333333
WS21093,.064,25.1655,-81.1596666666667
WS22072,.064,25.1655,-81.1578333333333
WS22141,.064,25.1663333333333,-81.1603333333333
WS23061,.064,25.1663333333333,-81.157
WS21093,.065,25.0895,-81.0976666666667
WS22141,.065,25.0953333333333,-81.0981666666667
WS21093,.068,24.929,-81.1676666666667
WS22072,.068,24.9283333333333,-81.168
WS22141,.068,24.9318333333333,-81.1655
WS23010,.068,24.9323333333333,-81.1648333333333
WS22072,.09,24.7636666666667,-80.7235
WS22072,.09_5,24.717,-80.6895
WS20342,.10,24.7846666666667,-80.8636666666667
WS21338,.10,24.7881666666667,-80.8595
WS22337,.10,24.7875,-80.8613333333333
WS22022,.12,24.7126666666667,-80.8326666666667
WS20279,.12,24.7126666666667,-80.835
WS20342,.12,24.7153333333333,-80.8286666666667
WS21032,.12,24.7145,-80.832
WS21093,.12,24.7131666666667,-80.8303333333333
WS21338,.12,24.7123333333333,-80.832
WS22337,.12,24.7123333333333,-80.8321666666667
WS20342,.15,24.6433333333333,-81.0158333333333
WS21032,.15,24.595,-80.989
WS20342,.15_5,24.5925,-80.993
WS22022,.16,24.6698333333333,-81.2028333333333
WS20279,.16,24.6695,-81.2038333333333
WS20342,.16,24.6673333333333,-81.198
WS21338,.16,24.6683333333333,-81.203
WS22337,.16,24.6706666666667,-81.2026666666667
WS22022,.18,24.5975,-81.184
WS20279,.18,24.5991666666667,-81.1851666666667
WS20342,.18,24.5996666666667,-81.1858333333333
WS21032,.18,24.597,-81.1836666666667
WS21093,.18,24.5985,-81.1826666666667
WS21338,.18,24.5975,-81.1836666666667
WS22337,.18,24.5971666666667,-81.1846666666667
WS22022,.2,25.6406666666667,-80.1045
WS20342,.2,25.6396666666667,-80.1045
WS22337,.2,25.6411666666667,-80.1003333333333
WS22337,.21,24.5343333333333,-81.4133333333333
WS21032,.21-LK,24.534,-81.414
WS22022,.21LK,24.5351666666667,-81.4135
WS20279,.21LK,24.5376666666667,-81.4165
WS21093,.21LK,24.5356666666667,-81.414
WS21338,.21LK,24.5361666666667,-81.4105
WS22072,.21LK,24.533,-81.415
WS22141,.21LK,24.5325,-81.4125
WS23010,.21LK,24.5353333333333,-81.4165
WS23061,.21LK,24.5328333333333,-81.4138333333333
WS22022,.30,25.4015,-82.2083333333333
WS20279,.30,25.4008333333333,-82.2136666666667
WS20342,.30,25.399,-82.2218333333333
WS21032,.30,25.4021666666667,-82.2073333333333
WS21093,.30,25.4028333333333,-82.211
WS21338,.30,25.4026666666667,-82.209
WS22337,.30,25.4018333333333,-82.2103333333333
WS22022,.31,25.7401666666667,-81.9423333333333
WS20279,.31,25.7435,-81.9445
WS20342,.31,25.7363333333333,-81.9413333333333
WS21032,.31,25.7406666666667,-81.9406666666667
WS21093,.31,25.7423333333333,-81.9458333333333
WS21338,.31,25.7415,-81.943
WS22337,.31,25.7413333333333,-81.9435
WS22022,.33,25.9111666666667,-81.7995
WS20342,.33,25.9076666666667,-81.7976666666667
WS21032,.33,25.9126666666667,-81.8
WS21093,.33,25.9101666666667,-81.8023333333333
WS21338,.33,25.9111666666667,-81.8
WS22337,.33,25.9073333333333,-81.7988333333333
WS22022,.41,25.7335,-81.5728333333333
WS20279,.41,25.735,-81.5731666666667
WS20342,.41,25.728,-81.5755
WS21032,.41,25.7313333333333,-81.5746666666667
WS21093,.41,25.733,-81.5751666666667
WS21338,.41,25.7333333333333,-81.5745
WS22337,.41,25.7315,-81.575
WS22022,.45,25.5836666666667,-81.4703333333333
WS20279,.45,25.5845,-81.4705
WS21032,.45,25.5816666666667,-81.4701666666667
WS21093,.45,25.5831666666667,-81.472
WS21338,.45,25.5835,-81.4706666666667
WS22337,.45,25.5835,-81.4691666666667
WS22022,.47,25.5828333333333,-81.3665
WS20342,.47,25.5825,-81.3698333333333
